"Compartment"	"Host_order"	"Rank_2"	"total_reads"	"total_reads_com_host"	"prop"
"123"	"Endophytic"	"Lamiales"	"Campilobacterota"	6249	319487	0.0195594812934486
"124"	"Endophytic"	"Lamiales"	"Caulobacterales"	0	319487	0
"125"	"Endophytic"	"Lamiales"	"Chloroflexi"	5134	319487	0.0160695114355201
"126"	"Endophytic"	"Lamiales"	"Cloacimonadota"	0	319487	0
"127"	"Endophytic"	"Lamiales"	"Coprothermobacterota"	0	319487	0
"128"	"Endophytic"	"Lamiales"	"Cyanobacteria"	2469	319487	0.0077280139723995
"129"	"Endophytic"	"Lamiales"	"Dadabacteria"	0	319487	0
"130"	"Endophytic"	"Lamiales"	"Deferribacterota"	2804	319487	0.00877656993868295
"131"	"Endophytic"	"Lamiales"	"Deinococcota"	23	319487	7.19904096254308e-05
"132"	"Endophytic"	"Lamiales"	"Dependentiae"	166	319487	0.000519582956427022
"133"	"Endophytic"	"Lamiales"	"Desulfobacterota"	2103	319487	0.00658242745401221
"134"	"Endophytic"	"Lamiales"	"Elusimicrobiota"	25	319487	7.82504452450334e-05
"135"	"Endophytic"	"Lamiales"	"Entotheonellaeota"	0	319487	0
"136"	"Endophytic"	"Lamiales"	"Fcpu426"	24	319487	7.51204274352321e-05
"137"	"Endophytic"	"Lamiales"	"Fibrobacterota"	62	319487	0.000194061104207683
"138"	"Endophytic"	"Lamiales"	"Firmicutes"	82577	319487	0.258467480679965
"139"	"Endophytic"	"Lamiales"	"Fusobacteriota"	12	319487	3.75602137176161e-05
"140"	"Endophytic"	"Lamiales"	"Gal15"	0	319487	0
"141"	"Endophytic"	"Lamiales"	"Gemmatimonadota"	1495	319487	0.004679376625653
"142"	"Endophytic"	"Lamiales"	"Halanaerobiaeota"	11	319487	3.44301959078147e-05
"143"	"Endophytic"	"Lamiales"	"Hydrogenedentes"	13	319487	4.06902315274174e-05
"144"	"Endophytic"	"Lamiales"	"Hydrothermae"	0	319487	0
"145"	"Endophytic"	"Lamiales"	"Latescibacterota"	30	319487	9.39005342940401e-05
"146"	"Endophytic"	"Lamiales"	"Marinimicrobia"	0	319487	0
"147"	"Endophytic"	"Lamiales"	"Mbnt15"	3	319487	9.39005342940401e-06
"148"	"Endophytic"	"Lamiales"	"Methylomirabilota"	60	319487	0.00018780106858808
"149"	"Endophytic"	"Lamiales"	"Myxococcota"	2446	319487	0.00765602356277407
"150"	"Endophytic"	"Lamiales"	"Nb1-j"	19	319487	5.94703383862254e-05
"151"	"Endophytic"	"Lamiales"	"Nitrospirota"	145	319487	0.000453852582421194
"152"	"Endophytic"	"Lamiales"	"Patescibacteria"	4273	319487	0.0133745661012811
"153"	"Endophytic"	"Lamiales"	"Planctomycetota"	3081	319487	0.00964358487199792
"154"	"Endophytic"	"Lamiales"	"Proteobacteria"	49219	319487	0.154056346580612
"155"	"Endophytic"	"Lamiales"	"Rcp2-54"	0	319487	0
"156"	"Endophytic"	"Lamiales"	"Sar324"	3	319487	9.39005342940401e-06
"157"	"Endophytic"	"Lamiales"	"Spirochaetota"	28	319487	8.76404986744375e-05
"158"	"Endophytic"	"Lamiales"	"Sumerlaeota"	29	319487	9.07705164842388e-05
"159"	"Endophytic"	"Lamiales"	"Sva0485"	0	319487	0
"160"	"Endophytic"	"Lamiales"	"Synergistota"	0	319487	0
"161"	"Endophytic"	"Lamiales"	"Ta06"	0	319487	0
"162"	"Endophytic"	"Lamiales"	"Thermotogota"	0	319487	0
"163"	"Endophytic"	"Lamiales"	"Verrucomicrobiota"	15330	319487	0.0479831730242545
"164"	"Endophytic"	"Lamiales"	"Wps-2"	34	319487	0.000106420605533245
"165"	"Endophytic"	"Lamiales"	"Ws2"	12	319487	3.75602137176161e-05
"166"	"Endophytic"	"Lamiales"	"Zixibacteria"	22	319487	6.88603918156294e-05
"167"	"Endophytic"	"Malvales"	"Abditibacteriota"	342	1031666	0.00033150263748151
"168"	"Endophytic"	"Malvales"	"Acidobacteriota"	103015	1031666	0.0998530532168357
"169"	"Endophytic"	"Malvales"	"Actinobacteriota"	347580	1031666	0.33691136472463
"170"	"Endophytic"	"Malvales"	"Aerophobota"	0	1031666	0
"171"	"Endophytic"	"Malvales"	"Aquificota"	0	1031666	0
"172"	"Endophytic"	"Malvales"	"Armatimonadota"	3007	1031666	0.00291470301434767
"173"	"Endophytic"	"Malvales"	"Bacteroidota"	12629	1031666	0.0122413649378772
"174"	"Endophytic"	"Malvales"	"Bdellovibrionota"	1119	1031666	0.00108465336649652
"175"	"Endophytic"	"Malvales"	"Caldatribacteriota"	0	1031666	0
"176"	"Endophytic"	"Malvales"	"Caldisericota"	0	1031666	0
"177"	"Endophytic"	"Malvales"	"Calditrichota"	2	1031666	1.93861191509655e-06
"178"	"Endophytic"	"Malvales"	"Campilobacterota"	0	1031666	0
"179"	"Endophytic"	"Malvales"	"Caulobacterales"	3	1031666	2.90791787264483e-06
"180"	"Endophytic"	"Malvales"	"Chloroflexi"	75719	1031666	0.0733948777995979
"181"	"Endophytic"	"Malvales"	"Cloacimonadota"	0	1031666	0
"182"	"Endophytic"	"Malvales"	"Coprothermobacterota"	0	1031666	0
"183"	"Endophytic"	"Malvales"	"Cyanobacteria"	819	1031666	0.000793861579232038
"184"	"Endophytic"	"Malvales"	"Dadabacteria"	20	1031666	1.93861191509655e-05
"185"	"Endophytic"	"Malvales"	"Deferribacterota"	0	1031666	0
"186"	"Endophytic"	"Malvales"	"Deinococcota"	25	1031666	2.42326489387069e-05
"187"	"Endophytic"	"Malvales"	"Dependentiae"	23	1031666	2.22940370236104e-05
"188"	"Endophytic"	"Malvales"	"Desulfobacterota"	1247	1031666	0.0012087245290627
"189"	"Endophytic"	"Malvales"	"Elusimicrobiota"	338	1031666	0.000327625413651317
"190"	"Endophytic"	"Malvales"	"Entotheonellaeota"	4207	1031666	0.0040778701634056
"191"	"Endophytic"	"Malvales"	"Fcpu426"	22	1031666	2.13247310660621e-05
"192"	"Endophytic"	"Malvales"	"Fibrobacterota"	179	1031666	0.000173505766401141
"193"	"Endophytic"	"Malvales"	"Firmicutes"	7882	1031666	0.00764006955739551
"194"	"Endophytic"	"Malvales"	"Fusobacteriota"	0	1031666	0
"195"	"Endophytic"	"Malvales"	"Gal15"	13	1031666	1.26009774481276e-05
"196"	"Endophytic"	"Malvales"	"Gemmatimonadota"	37557	1031666	0.0364042238476406
"197"	"Endophytic"	"Malvales"	"Halanaerobiaeota"	5	1031666	4.84652978774138e-06
"198"	"Endophytic"	"Malvales"	"Hydrogenedentes"	59	1031666	5.71890514953483e-05
"199"	"Endophytic"	"Malvales"	"Hydrothermae"	0	1031666	0
"200"	"Endophytic"	"Malvales"	"Latescibacterota"	1156	1031666	0.00112051768692581
"201"	"Endophytic"	"Malvales"	"Marinimicrobia"	0	1031666	0
"202"	"Endophytic"	"Malvales"	"Mbnt15"	87	1031666	8.43296183067e-05
"203"	"Endophytic"	"Malvales"	"Methylomirabilota"	2327	1031666	0.00225557496321484
"204"	"Endophytic"	"Malvales"	"Myxococcota"	44256	1031666	0.0428976044572565
"205"	"Endophytic"	"Malvales"	"Nb1-j"	284	1031666	0.00027528289194371
"206"	"Endophytic"	"Malvales"	"Nitrospirota"	1913	1031666	0.00185428229678985
"207"	"Endophytic"	"Malvales"	"Patescibacteria"	5419	1031666	0.00525266898395411
"208"	"Endophytic"	"Malvales"	"Planctomycetota"	189172	1031666	0.183365546601323
"209"	"Endophytic"	"Malvales"	"Proteobacteria"	154968	1031666	0.150211405629341
"210"	"Endophytic"	"Malvales"	"Rcp2-54"	545	1031666	0.000528271746863811
"211"	"Endophytic"	"Malvales"	"Sar324"	11	1031666	1.0662365533031e-05
"212"	"Endophytic"	"Malvales"	"Spirochaetota"	18	1031666	1.7447507235869e-05
"213"	"Endophytic"	"Malvales"	"Sumerlaeota"	466	1031666	0.000451696576217497
"214"	"Endophytic"	"Malvales"	"Sva0485"	0	1031666	0
"215"	"Endophytic"	"Malvales"	"Synergistota"	0	1031666	0
"216"	"Endophytic"	"Malvales"	"Ta06"	0	1031666	0
"217"	"Endophytic"	"Malvales"	"Thermotogota"	0	1031666	0
"218"	"Endophytic"	"Malvales"	"Verrucomicrobiota"	34657	1031666	0.0335932365707506
"219"	"Endophytic"	"Malvales"	"Wps-2"	399	1031666	0.000386753077061762
"220"	"Endophytic"	"Malvales"	"Ws2"	176	1031666	0.000170597848528497
"221"	"Endophytic"	"Malvales"	"Zixibacteria"	0	1031666	0
"222"	"Endophytic"	"Poales"	"Abditibacteriota"	10	681787	1.46673374528995e-05
"223"	"Endophytic"	"Poales"	"Acidobacteriota"	2513	681787	0.00368590190191365
"224"	"Endophytic"	"Poales"	"Actinobacteriota"	44911	681787	0.065872479234717
"225"	"Endophytic"	"Poales"	"Aquificota"	0	681787	0
"226"	"Endophytic"	"Poales"	"Armatimonadota"	22	681787	3.22681423963789e-05
"227"	"Endophytic"	"Poales"	"Bacteroidota"	205183	681787	0.300948830059828
"228"	"Endophytic"	"Poales"	"Bdellovibrionota"	763	681787	0.00111911784765623
"229"	"Endophytic"	"Poales"	"Caldatribacteriota"	53	681787	7.77368885003674e-05
"230"	"Endophytic"	"Poales"	"Campilobacterota"	100	681787	0.000146673374528995
"231"	"Endophytic"	"Poales"	"Chloroflexi"	679	681787	0.000995912213051877
"232"	"Endophytic"	"Poales"	"Cyanobacteria"	3	681787	4.40020123586985e-06
"233"	"Endophytic"	"Poales"	"Deferribacterota"	597	681787	0.000875640045938101
"234"	"Endophytic"	"Poales"	"Deinococcota"	336	681787	0.000492822538417424
"235"	"Endophytic"	"Poales"	"Dependentiae"	60	681787	8.80040247173971e-05
"236"	"Endophytic"	"Poales"	"Desulfobacterota"	4341	681787	0.00636709118830368
"237"	"Endophytic"	"Poales"	"Elusimicrobiota"	73	681787	0.000107071563406166
"238"	"Endophytic"	"Poales"	"Entotheonellaeota"	206	681787	0.00030214715152973
"239"	"Endophytic"	"Poales"	"Fibrobacterota"	5	681787	7.33366872644976e-06
"240"	"Endophytic"	"Poales"	"Firmicutes"	299899	681787	0.439871983478711
"241"	"Endophytic"	"Poales"	"Fusobacteriota"	81	681787	0.000118805433368486
"242"	"Endophytic"	"Poales"	"Gemmatimonadota"	727	681787	0.00106631543282579
"243"	"Endophytic"	"Poales"	"Latescibacterota"	69	681787	0.000101204628425007
"244"	"Endophytic"	"Poales"	"Marinimicrobia"	5	681787	7.33366872644976e-06
"245"	"Endophytic"	"Poales"	"Mbnt15"	68	681787	9.97378946797167e-05
"246"	"Endophytic"	"Poales"	"Methylomirabilota"	0	681787	0
"247"	"Endophytic"	"Poales"	"Myxococcota"	1851	681787	0.0027149241625317
"248"	"Endophytic"	"Poales"	"Nb1-j"	279	681787	0.000409218714935896
"249"	"Endophytic"	"Poales"	"Nitrospirota"	788	681787	0.00115578619128848
"250"	"Endophytic"	"Poales"	"Patescibacteria"	204	681787	0.00029921368403915
"251"	"Endophytic"	"Poales"	"Planctomycetota"	414	681787	0.00060722777055004
"252"	"Endophytic"	"Poales"	"Proteobacteria"	115398	681787	0.16925814073897
"253"	"Endophytic"	"Poales"	"Rcp2-54"	303	681787	0.000444420324822855
"254"	"Endophytic"	"Poales"	"Sar324"	8	681787	1.17338699623196e-05
"255"	"Endophytic"	"Poales"	"Spirochaetota"	746	681787	0.0010941833739863
"256"	"Endophytic"	"Poales"	"Sumerlaeota"	0	681787	0
"257"	"Endophytic"	"Poales"	"Sva0485"	33	681787	4.84022135945684e-05
"258"	"Endophytic"	"Poales"	"Synergistota"	8	681787	1.17338699623196e-05
"259"	"Endophytic"	"Poales"	"Thermotogota"	4	681787	5.8669349811598e-06
"260"	"Endophytic"	"Poales"	"Verrucomicrobiota"	1030	681787	0.00151073575764865
"261"	"Endophytic"	"Poales"	"Zixibacteria"	17	681787	2.49344736699292e-05
"262"	"Endophytic"	"Ranunculales"	"Abditibacteriota"	8	231268	3.45919020357334e-05
"263"	"Endophytic"	"Ranunculales"	"Acidobacteriota"	35	231268	0.000151339571406334
"264"	"Endophytic"	"Ranunculales"	"Actinobacteriota"	9281	231268	0.0401309303492053
"265"	"Endophytic"	"Ranunculales"	"Armatimonadota"	243	231268	0.0010507290243354
"266"	"Endophytic"	"Ranunculales"	"Bacteroidota"	11140	231268	0.0481692235847588
"267"	"Endophytic"	"Ranunculales"	"Bdellovibrionota"	208	231268	0.000899389452929069
"268"	"Endophytic"	"Ranunculales"	"Campilobacterota"	9	231268	3.89158897902001e-05
"269"	"Endophytic"	"Ranunculales"	"Chloroflexi"	25	231268	0.000108099693861667
"270"	"Endophytic"	"Ranunculales"	"Cyanobacteria"	115	231268	0.000497258591763668
"271"	"Endophytic"	"Ranunculales"	"Dadabacteria"	0	231268	0
"272"	"Endophytic"	"Ranunculales"	"Deinococcota"	30019	231268	0.129801788401335
"273"	"Endophytic"	"Ranunculales"	"Dependentiae"	0	231268	0
"274"	"Endophytic"	"Ranunculales"	"Desulfobacterota"	0	231268	0
"275"	"Endophytic"	"Ranunculales"	"Elusimicrobiota"	0	231268	0
"276"	"Endophytic"	"Ranunculales"	"Entotheonellaeota"	0	231268	0
"277"	"Endophytic"	"Ranunculales"	"Fibrobacterota"	0	231268	0
"278"	"Endophytic"	"Ranunculales"	"Firmicutes"	1085	231268	0.00469152671359635
"279"	"Endophytic"	"Ranunculales"	"Fusobacteriota"	53	231268	0.000229171350986734
"280"	"Endophytic"	"Ranunculales"	"Gemmatimonadota"	6	231268	2.59439265268001e-05
"281"	"Endophytic"	"Ranunculales"	"Latescibacterota"	0	231268	0
"282"	"Endophytic"	"Ranunculales"	"Myxococcota"	563	231268	0.00243440510576474
"283"	"Endophytic"	"Ranunculales"	"Nb1-j"	0	231268	0
"284"	"Endophytic"	"Ranunculales"	"Nitrospirota"	0	231268	0
"285"	"Endophytic"	"Ranunculales"	"Patescibacteria"	191	231268	0.000825881661103136
"286"	"Endophytic"	"Ranunculales"	"Planctomycetota"	2	231268	8.64797550893336e-06
"287"	"Endophytic"	"Ranunculales"	"Proteobacteria"	178266	231268	0.770820001037757
"288"	"Endophytic"	"Ranunculales"	"Sar324"	0	231268	0
"289"	"Endophytic"	"Ranunculales"	"Spirochaetota"	5	231268	2.16199387723334e-05
"290"	"Endophytic"	"Ranunculales"	"Verrucomicrobiota"	14	231268	6.05358285625335e-05
"291"	"Endophytic"	"Sapindales"	"Abditibacteriota"	0	180013	0
"292"	"Endophytic"	"Sapindales"	"Acidobacteriota"	26	180013	0.000144434013099054
"293"	"Endophytic"	"Sapindales"	"Actinobacteriota"	239	180013	0.0013276818896413
"294"	"Endophytic"	"Sapindales"	"Apal-e12"	0	180013	0
