"Compartment"	"Host_order"	"Class"	"total_reads"	"total_reads_com_host"	"prop"
"287"	"Endophytic"	"Fabales"	"Archaeorhizomycetes"	0	384882	0
"288"	"Endophytic"	"Fabales"	"Archaeosporomycetes"	4	384882	1.0392795714011e-05
"289"	"Endophytic"	"Fabales"	"Arthoniomycetes"	0	384882	0
"290"	"Endophytic"	"Fabales"	"Atractiellomycetes"	0	384882	0
"291"	"Endophytic"	"Fabales"	"Basidiobolomycetes"	0	384882	0
"292"	"Endophytic"	"Fabales"	"Blastocladiomycetes"	0	384882	0
"293"	"Endophytic"	"Fabales"	"Calcarisporiellomycetes"	0	384882	0
"294"	"Endophytic"	"Fabales"	"Chytridiomycetes"	0	384882	0
"295"	"Endophytic"	"Fabales"	"Cystobasidiomycetes"	0	384882	0
"296"	"Endophytic"	"Fabales"	"Dacrymycetes"	0	384882	0
"297"	"Endophytic"	"Fabales"	"Dothideomycetes"	238762	384882	0.620351172567176
"298"	"Endophytic"	"Fabales"	"Endogonomycetes"	0	384882	0
"299"	"Endophytic"	"Fabales"	"Entomophthoromycetes"	0	384882	0
"300"	"Endophytic"	"Fabales"	"Eurotiomycetes"	25016	384882	0.0649965443954251
"301"	"Endophytic"	"Fabales"	"Exobasidiomycetes"	52	384882	0.000135106344282144
"302"	"Endophytic"	"Fabales"	"Geminibasidiomycetes"	0	384882	0
"303"	"Endophytic"	"Fabales"	"Glomeromycetes"	36	384882	9.35351614260994e-05
"304"	"Endophytic"	"Fabales"	"Gs17"	0	384882	0
"305"	"Endophytic"	"Fabales"	"GS17"	0	384882	0
"306"	"Endophytic"	"Fabales"	"Kickxellomycetes"	0	384882	0
"307"	"Endophytic"	"Fabales"	"Laboulbeniomycetes"	0	384882	0
"308"	"Endophytic"	"Fabales"	"Lecanoromycetes"	46	384882	0.000119517150711127
"309"	"Endophytic"	"Fabales"	"Leotiomycetes"	29086	384882	0.0755712140344313
"310"	"Endophytic"	"Fabales"	"Lobulomycetes"	0	384882	0
"311"	"Endophytic"	"Fabales"	"Malasseziomycetes"	0	384882	0
"312"	"Endophytic"	"Fabales"	"Microbotryomycetes"	52	384882	0.000135106344282144
"313"	"Endophytic"	"Fabales"	"Monoblepharidomycetes"	0	384882	0
"314"	"Endophytic"	"Fabales"	"Mortierellomycetes"	914	384882	0.00237475382065152
"315"	"Endophytic"	"Fabales"	"Mucoromycetes"	0	384882	0
"316"	"Endophytic"	"Fabales"	"Olpidiomycetes"	0	384882	0
"317"	"Endophytic"	"Fabales"	"Orbiliomycetes"	408	384882	0.00106006516282913
"318"	"Endophytic"	"Fabales"	"Pezizomycetes"	426	384882	0.00110683274354218
"319"	"Endophytic"	"Fabales"	"Pucciniomycetes"	218	384882	0.000566407366413602
"320"	"Endophytic"	"Fabales"	"Rhizophlyctidomycetes"	16	384882	4.15711828560442e-05
"321"	"Endophytic"	"Fabales"	"Rhizophydiomycetes"	36	384882	9.35351614260994e-05
"322"	"Endophytic"	"Fabales"	"Saccharomycetes"	184	384882	0.000478068602844508
"323"	"Endophytic"	"Fabales"	"Sordariomycetes"	56688	384882	0.147286700858965
"324"	"Endophytic"	"Fabales"	"Spiculogloeomycetes"	0	384882	0
"325"	"Endophytic"	"Fabales"	"Spizellomycetes"	58	384882	0.00015069553785316
"326"	"Endophytic"	"Fabales"	"Taphrinomycetes"	0	384882	0
"327"	"Endophytic"	"Fabales"	"Tremellomycetes"	5318	384882	0.0138172219017777
"328"	"Endophytic"	"Fabales"	"Tritirachiomycetes"	0	384882	0
"329"	"Endophytic"	"Fabales"	"Umbelopsidomycetes"	0	384882	0
"330"	"Endophytic"	"Fabales"	"Ustilaginomycetes"	24	384882	6.23567742840663e-05
"331"	"Endophytic"	"Fabales"	"Wallemiomycetes"	0	384882	0
"332"	"Endophytic"	"Fagales"	""	21121	391324	0.0539731782359375
"333"	"Endophytic"	"Fagales"	"Agaricales"	0	391324	0
"334"	"Endophytic"	"Fagales"	"Agaricomycetes"	645	391324	0.00164825055452771
"335"	"Endophytic"	"Fagales"	"Agaricostilbomycetes"	58	391324	0.000148214778546677
"336"	"Endophytic"	"Fagales"	"Aphelidiomycetes"	0	391324	0
"337"	"Endophytic"	"Fagales"	"Archaeorhizomycetes"	0	391324	0
"338"	"Endophytic"	"Fagales"	"Archaeosporomycetes"	0	391324	0
"339"	"Endophytic"	"Fagales"	"Arthoniomycetes"	17086	391324	0.0436620294180781
"340"	"Endophytic"	"Fagales"	"Atractiellomycetes"	10405	391324	0.0265892201858307
"341"	"Endophytic"	"Fagales"	"Basidiobolomycetes"	0	391324	0
